lat;lng;icon;popup;image;text;text2;text3;text4;name
13.33876;-81.37293;images/no-marker.png;Providencia y Santa Catalina;images/no-marker.png;;;;;Ir a Providencia y Santa Catalina
13.34769;-81.39292;images/icon-freshwater-bay.png;Freshwater Bay;images/01freshwater-bay.png;A diferencia de San Andrés, que por su baja altitud tiene pocos arroyos y sufre de escasez de agua, Providencia está surcada –gracias a sus montañas– por numerosos arroyos y manantiales de agua dulce que han garantizado una parte importante del agua para consumo humano. Cinco arroyos se destacan por su tamaño y abundancia, los cuales nacen en The Peak (El Pico) la montaña más alta, y se distribuyen alrededor de la isla, desembocando en el mar en los sectores de Old Town, Lazy Hill, Freshwater Bay, Bottom House y Bailey. Estos fueron durante mucho tiempo un espacio de encuentro, donde hombres, mujeres y niños se reunían en torno a las tareas cotidianas de recoger el agua para la casa y lavar la ropa, en una época en que las cisternas eran un lujo que solo algunos podían darse. Para ello, las personas se desplazaban a pie, a caballo o en canoas y catboats, por el mar y entre el bosque, para acceder a las partes más agradables y acondicionadas, donde se formaban pozos, quebradas o manantiales, que les facilitaban sus tareas.;Entre los arroyos mencionados se destaca el localizado en el sector de Freshwater Bay, conocido en la actualidad como el sector hotelero de Providencia, pues allí se ubicaron algunos de los primeros hoteles, y aún hoy se encuentra concentrada una parte importante de la oferta turística de la isla. Lo que pocos de sus visitantes saben es que este sector tuvo en otras épocas un significado muy diferente para los isleños, asociado precisamente a la abundancia de agua presente en sus arroyos y manantiales, que le hicieron ganar su nombre: Freshwater Bay o Bahía Aguadulce.;Precisamente por esto, a principios de la década de los noventa eligieron este sector para construir allí la represa de Providencia, la Freshwater Dam, encargada de recolectar el agua del arroyo de aguadulce y utilizarla para su distribución a través de un sistema de acueducto que poco a poco, y no sin obstáculos, ha ido cubriendo cada vez a más población en la isla. Antes de esta represa ya había existido una en el sector de Old Town, que recogía el agua del arroyo del Bowden, otro de los arroyos permanentes que tiene Providencia, la cual hoy en día está abandonada, si bien hay planes de recuperarla. Sin embargo, la nueva represa es mucho más grande, lo que le permite prestar un mejor servicio y mayor cobertura, así como tener agua durante todo el año, incluso durante el verano, cuando pueden pasar varios meses sin llover.;Aunque su construcción es reciente, es un lugar de gran importancia en relación con el manejo del agua en las islas. Además, aunque no tan conocida, la represa también se puede visitar, siguiendo un camino destapado que sube desde el sector de Freshwater Bay, que permite apreciar las lindas montañas del sector, cubiertas por parches de bosque seco y las fincas de algunos isleños. Adicionalmente, debido a la oferta de agua dulce, la represa es un buen lugar para observar aves, muchas de ellas migratorias, que pasan por las islas en su camino al sur o al norte, y paran por algunas horas o días allí. Ahora ya lo saben: si alguna vez visitan Providencia, pueden acercarse a este sitio y disfrutar por un rato del silencio de la montaña, al igual que del canto del agua y de los pájaros.;1. Fresh Water Bay
13.35471;-81.38229;images/icon-freshwater-dam.png;Freshwater Dam;images/02freshwater-dam.png;A diferencia de San Andrés, que por su baja altitud tiene pocos arroyos y sufre de escasez de agua, Providencia está surcada –gracias a sus montañas– por numerosos arroyos y manantiales de agua dulce que han garantizado una parte importante del agua para consumo humano. Cinco arroyos se destacan por su tamaño y abundancia, los cuales nacen en The Peak (El Pico) la montaña más alta, y se distribuyen alrededor de la isla, desembocando en el mar en los sectores de Old Town, Lazy Hill, Freshwater Bay, Bottom House y Bailey. Estos fueron durante mucho tiempo un espacio de encuentro, donde hombres, mujeres y niños se reunían en torno a las tareas cotidianas de recoger el agua para la casa y lavar la ropa, en una época en que las cisternas eran un lujo que solo algunos podían darse. Para ello, las personas se desplazaban a pie, a caballo o en canoas y catboats, por el mar y entre el bosque, para acceder a las partes más agradables y acondicionadas, donde se formaban pozos, quebradas o manantiales, que les facilitaban sus tareas.;Entre los arroyos mencionados se destaca el localizado en el sector de Freshwater Bay, conocido en la actualidad como el sector hotelero de Providencia, pues allí se ubicaron algunos de los primeros hoteles, y aún hoy se encuentra concentrada una parte importante de la oferta turística de la isla. Lo que pocos de sus visitantes saben es que este sector tuvo en otras épocas un significado muy diferente para los isleños, asociado precisamente a la abundancia de agua presente en sus arroyos y manantiales, que le hicieron ganar su nombre: Freshwater Bay o Bahía Aguadulce.;Precisamente por esto, a principios de la década de los noventa eligieron este sector para construir allí la represa de Providencia, la Freshwater Dam, encargada de recolectar el agua del arroyo de aguadulce y utilizarla para su distribución a través de un sistema de acueducto que poco a poco, y no sin obstáculos, ha ido cubriendo cada vez a más población en la isla. Antes de esta represa ya había existido una en el sector de Old Town, que recogía el agua del arroyo del Bowden, otro de los arroyos permanentes que tiene Providencia, la cual hoy en día está abandonada, si bien hay planes de recuperarla. Sin embargo, la nueva represa es mucho más grande, lo que le permite prestar un mejor servicio y mayor cobertura, así como tener agua durante todo el año, incluso durante el verano, cuando pueden pasar varios meses sin llover.;Aunque su construcción es reciente, es un lugar de gran importancia en relación con el manejo del agua en las islas. Además, aunque no tan conocida, la represa también se puede visitar, siguiendo un camino destapado que sube desde el sector de Freshwater Bay, que permite apreciar las lindas montañas del sector, cubiertas por parches de bosque seco y las fincas de algunos isleños. Adicionalmente, debido a la oferta de agua dulce, la represa es un buen lugar para observar aves, muchas de ellas migratorias, que pasan por las islas en su camino al sur o al norte, y paran por algunas horas o días allí. Ahora ya lo saben: si alguna vez visitan Providencia, pueden acercarse a este sitio y disfrutar por un rato del silencio de la montaña, al igual que del canto del agua y de los pájaros.;2. Fresh Water Dam
13.37375;-81.35993;images/icon-softball-maracaibo.png;Estadio de Softball de Maracaibo;images/03softball-maracaibo.png;Las canchas de béisbol, softbol y basquetbol, localizadas en diferentes sectores de las islas, muchas de las cuales existen hace ya varias generaciones, son de gran importancia como lugares de encuentro de los isleños, quienes tradicionalmente han disfrutado de estos deportes como jugadores y espectadores. De allí han salido jugadores importantes y representativos, que empezaron jugando por diversión y terminaron destacándose en los ámbitos local, regional y nacional. Además, estas canchas también sirven como lugar de juego para los niños y de encuentro para los jóvenes cuando no hay actividades deportivas en ellas, por lo cual son relevantes para las comunidades de cada barrio.;En la actualidad, hay una variada programación deportiva que se convierte en un verdadero atractivo turístico a la hora de encontrar una actividad alternativa a los paquetes turísticos convencionales. Por ejemplo, el campeonato más grande de baloncesto en el archipiélago reúne a los mejores equipos de los distintos sectores, empresas y personajes importantes en el coliseo de Ginnie Bay.;También se puede visitar el estadio de béisbol del Centro, la cancha de Ballfielf en Brooks Hill o la cancha de softbol en el sector de Sound Bay en San Andrés, y el estadio de softbol de Maracaibo y el coliseo de Black Sand Bay en Providencia.; ;3. Estadio de Softball de Maracaibo
13.37185;-81.37068;images/icon-coliseo-black-sand-bay.png;Coliseo de Black Sand Bay;Images/04coliseo-black.png;Las canchas de béisbol, softbol y basquetbol, localizadas en diferentes sectores de las islas, muchas de las cuales existen hace ya varias generaciones, son de gran importancia como lugares de encuentro de los isleños, quienes tradicionalmente han disfrutado de estos deportes como jugadores y espectadores. De allí han salido jugadores importantes y representativos, que empezaron jugando por diversión y terminaron destacándose en los ámbitos local, regional y nacional. Además, estas canchas también sirven como lugar de juego para los niños y de encuentro para los jóvenes cuando no hay actividades deportivas en ellas, por lo cual son relevantes para las comunidades de cada barrio. ;En la actualidad, hay una variada programación deportiva que se convierte en un verdadero atractivo turístico a la hora de encontrar una actividad alternativa a los paquetes turísticos convencionales. Por ejemplo, el campeonato más grande de baloncesto en el archipiélago reúne a los mejores equipos de los distintos sectores, empresas y personajes importantes en el coliseo de Ginnie Bay. ;También se puede visitar el estadio de béisbol del Centro, la cancha de Ballfielf en Brooks Hill o la cancha de softbol en el sector de Sound Bay en San Andrés, y el estadio de softbol de Maracaibo y el coliseo de Black Sand Bay en Providencia.; ;4. Coliseo de Black Sand Bay
13.38235;-81.36663;images/icon-casa-cultura-santa-isabel.png;Casa de la Cultura de Santa Isabel;images/05cultura-santa-isabel.png;En San Andrés y Providencia han existido desde hace varias décadas casas de la cultura, importantes lugares de encuentro y recreación para los isleños. En estos espacios se suelen realizar actividades que rescatan las tradicionales culturales del archipiélago como eventos de música y danza, juegos de dominó, encuentros de tradición oral y muestras gastronómicas. Aunque varias de ellas se han transformado con el tiempo, son lugares importantes para los lazos comunitarios y para el rescate y la preservación de las tradiciones locales. ;En San Andrés se puede visitar el Tamarind Tree Cultural Center y la Casa de la Cultura del centro, y en Providencia vale la pena pasar un rato por la Casa de la Música, la Casa Lúdica y la Casa de la Cultura de Santa Isabel. Es posible que al pasar por ahí encuentres isleños disfrutando del mentó o el calipso y tocando algunos de los instrumentos tradicionales más famosos como el tináfono y la quijada de caballo.;;;5. Casa de la Cultura de Santa Isabel
13.36884;-81.37345;images/icon-casa-ludica.png;Casa Lúdica;images/06casa-ludica.png;En San Andrés y Providencia han existido desde hace varias décadas casas de la cultura, importantes lugares de encuentro y recreación para los isleños. En estos espacios se suelen realizar actividades que rescatan las tradicionales culturales del archipiélago como eventos de música y danza, juegos de dominó, encuentros de tradición oral y muestras gastronómicas. Aunque varias de ellas se han transformado con el tiempo, son lugares importantes para los lazos comunitarios y para el rescate y la preservación de las tradiciones locales. ;En San Andrés se puede visitar el Tamarind Tree Cultural Center y la Casa de la Cultura del centro, y en Providencia vale la pena pasar un rato por la Casa de la Música, la Casa Lúdica y la Casa de la Cultura de Santa Isabel. Es posible que al pasar por ahí encuentres isleños disfrutando del mentó o el calipso y tocando algunos de los instrumentos tradicionales más famosos como el tináfono y la quijada de caballo.;;;6. Casa Lúdica
13.34202;-81.35702;images/icon-casa-musica.png;Casa de la Música;images/07casa-musica.png;En San Andrés y Providencia han existido desde hace varias décadas casas de la cultura, importantes lugares de encuentro y recreación para los isleños. En estos espacios se suelen realizar actividades que rescatan las tradicionales culturales del archipiélago como eventos de música y danza, juegos de dominó, encuentros de tradición oral y muestras gastronómicas. Aunque varias de ellas se han transformado con el tiempo, son lugares importantes para los lazos comunitarios y para el rescate y la preservación de las tradiciones locales. ;En San Andrés se puede visitar el Tamarind Tree Cultural Center y la Casa de la Cultura del centro, y en Providencia vale la pena pasar un rato por la Casa de la Música, la Casa Lúdica y la Casa de la Cultura de Santa Isabel. Es posible que al pasar por ahí encuentres isleños disfrutando del mentó o el calipso y tocando algunos de los instrumentos tradicionales más famosos como el tináfono y la quijada de caballo.;;;7. Casa de la Música
13.3773;-81.36886;images/icon-iglesia-catolica-central.png;Iglesia Católica central y convento;images/08catolica-central.png;Uno de los aspectos más relevantes de los nativos isleños es su profunda creencia en Dios. La creencia en un ser supremo influye en todos los aspectos de su vida cotidiana, razón por la cual el trabajo de la tierra, las faenas de pesca, el nacimiento, la vida y la muerte se conectan con la fe. Por eso, los domingos por la mañana es casi obligatoria la asistencia a los templos. Esto se debe a que la población es heredera de cuatro siglos de influencia religiosa. Primero llegaron los bautistas, luego los católicos, después los adventistas, posteriormente los musulmanes y ahora hay varias iglesias protestantes de distinta índole. Si bien hay diversas iglesias, puedes visitar la Primera Iglesia Bautista en La Loma, una de las más famosas de San Andrés y donde puedes disfrutar de algunas de las canciones del coro góspel, la Iglesia Bautista Christian Mission ubicada en el centro, la Catedral de la Sagrada Familia y la Iglesia Católica en San Luis. Además, puedes visitar también algunas de las Iglesias Adventistas más reconocidas, como la de La Loma, la de San Luis o la del Séptimo Día. En Providencia también hay varias iglesias, en especial en el sector de Old Town, en Bottom House y en Rocky Point. ;A pesar de estas creencias religiosas occidentales, existen otras prácticas espirituales de profundas raíces africanas, que aunque no son tan aplaudidas, sí están latentes en la vida de los nativos y se practican en la intimidad del hogar, se las llama obia. El obia es el nombre que se les da a los conocimientos de los signos de la naturaleza, la lectura de los sueños y el manejo de las plantas medicinales para curar, proteger, atraer o alejar. Cuentan los abuelos que estas prácticas han permitido grandes cambios en los resultados de eventos importantes, como las carreras de caballos, premios de lotería e incluso la cura de enfermedades de gran complejidad. ;;;8. Iglesia Católica central y convento
13.35722;-81.39246;images/icon-iglesia-catolica-lazy-hill.png;Iglesia Católica de Lazy Hill;images/09catolica-lazy-hill.png;Uno de los aspectos más relevantes de los nativos isleños es su profunda creencia en Dios. La creencia en un ser supremo influye en todos los aspectos de su vida cotidiana, razón por la cual el trabajo de la tierra, las faenas de pesca, el nacimiento, la vida y la muerte se conectan con la fe. Por eso, los domingos por la mañana es casi obligatoria la asistencia a los templos. Esto se debe a que la población es heredera de cuatro siglos de influencia religiosa. Primero llegaron los bautistas, luego los católicos, después los adventistas, posteriormente los musulmanes y ahora hay varias iglesias protestantes de distinta índole. Si bien hay diversas iglesias, puedes visitar la Primera Iglesia Bautista en La Loma, una de las más famosas de San Andrés y donde puedes disfrutar de algunas de las canciones del coro góspel, la Iglesia Bautista Christian Mission ubicada en el centro, la Catedral de la Sagrada Familia y la Iglesia Católica en San Luis. Además, puedes visitar también algunas de las Iglesias Adventistas más reconocidas, como la de La Loma, la de San Luis o la del Séptimo Día. En Providencia también hay varias iglesias, en especial en el sector de Old Town, en Bottom House y en Rocky Point. ;A pesar de estas creencias religiosas occidentales, existen otras prácticas espirituales de profundas raíces africanas, que aunque no son tan aplaudidas, sí están latentes en la vida de los nativos y se practican en la intimidad del hogar, se las llama obia. El obia es el nombre que se les da a los conocimientos de los signos de la naturaleza, la lectura de los sueños y el manejo de las plantas medicinales para curar, proteger, atraer o alejar. Cuentan los abuelos que estas prácticas han permitido grandes cambios en los resultados de eventos importantes, como las carreras de caballos, premios de lotería e incluso la cura de enfermedades de gran complejidad. ;;;9. Iglesia Católica de Lazy Hill
